genres,keywords,title,cast,director
Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),The Hobbit: The Battle of the Five Armies,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,The Amazing Spider-Man,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
Action Adventure,robin hood archer knight sherwood forest bow and arrow,Robin Hood,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
Adventure Fantasy,elves dwarves orcs hobbit dragon,The Hobbit: The Desolation of Smaug,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
Adventure Fantasy,england compass experiment lordship uncle,The Golden Compass,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
Adventure Drama Action,film business screenplay show business film making film producer,King Kong,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
Drama Romance Thriller,shipwreck iceberg ship panic titanic,Titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Captain America: Civil War,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,Battleship,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,Jurassic World,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow
Action Adventure Thriller,spy secret agent sociopath killer art gallery,Skyfall,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,Spider-Man 2,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Iron Man 3,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,Alice in Wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,X-Men: The Last Stand,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
Animation Family,monster dormitory games animation best friend,Monsters University,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
Science Fiction Action Adventure,egypt sun chaos symbol artifact,Transformers: Revenge of the Fallen,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
Science Fiction Action Adventure,sequel alien transformers giant robot robot,Transformers: Age of Extinction,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
Fantasy Adventure Family,circus witch magic hope illusion,Oz: The Great and Powerful,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,The Amazing Spider-Man 2,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,TRON: Legacy,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Cars 2,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,Green Lantern,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
Animation Family Comedy,hostage college toy barbie animation,Toy Story 3,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,Terminator Salvation,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
Action,car race speed revenge suspense car,Furious 7,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,World War Z,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,X-Men: Days of Future Past,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Star Trek Into Darkness,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
Action Family Fantasy,based on fairy tale giant,Jack the Giant Slayer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
Drama Romance,based on novel infidelity obsession hope 3d,The Great Gatsby,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Prince of Persia: The Sands of Time,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,Pacific Rim,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,Transformers: Dark of the Moon,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
Adventure Action,saving the world riddle whip treasure mexico city,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,The Good Dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Brave,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
Action Adventure Science Fiction,sequel stranded hatred space opera,Star Trek Beyond,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
Animation Family,romantic comedy,WALL·E,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
Action Comedy Crime Thriller,ambassador,Rush Hour 3,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,2012,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
Animation Drama,holiday based on novel victorian england money christmas eve,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
Action Adventure,africa feral child tarzan jungle animal attack,The Legend of Tarzan,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,Up,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
Adventure Drama Family,library clock film director key toy,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
Adventure Action Fantasy,,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
Fantasy Comedy Family,father son relationship daily life married couple support father,Evan Almighty,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
Action Science Fiction,deja vu time warp restart dystopia war,Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
Adventure Action,ocean tattoo mutant water dystopia,Waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Inside Out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,The Jungle Book,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,Iron Man 2,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
Adventure Fantasy Drama,queen magic fairy tale immortality forest,Snow White and the Huntsman,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Maleficent,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,Dawn of the Planet of the Apes,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
Action Adventure Science Fiction Romance,,The Lovers,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,47 Ronin,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,Captain America: The Winter Soldier,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
Comedy Adventure Fantasy Animation Family,ogre 3d,Shrek Forever After,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,Big Hero 6,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
Family Animation Comedy Adventure,support group product placement bullying racing arcade,Wreck-It Ralph,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
Adventure Animation Family Fantasy,santa claus nerd faith gift bell,The Polar Express,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
Action Adventure Science Fiction,alternate history alien invasion,Independence Day: Resurgence,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
Fantasy Adventure Animation Family,flying blacksmith arena island night,How to Train Your Dragon,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,Terminator 3: Rise of the Machines,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,Guardians of the Galaxy,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Interstellar,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,Shin Godzilla,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),The Hobbit: An Unexpected Journey,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
Action Crime Thriller,street gang car race undercover auto-tuning los angeles,The Fast and the Furious,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,The Curious Case of Benjamin Button,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
Action Science Fiction Adventure,cia mutant mine marvel comic superhero,X-Men: First Class,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,The Sorcerer's Apprentice,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Poseidon,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
Fantasy,based on novel clock queen sequel alice in wonderland,Alice Through the Looking Glass,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Shrek the Third,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
Action Adventure Fantasy,video game elves orcs magic chase,Warcraft,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Terminator Genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
Adventure Family Fantasy,based on novel magic good vs evil king narnia,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
History Romance War,nurse patriotism hawaii world war ii pilot,Pearl Harbor,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
War History Action Adventure Drama,aristotle egypt greece persia elephant,Alexander,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Harry Potter and the Order of the Phoenix,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,Harry Potter and the Goblet of Fire,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
Fantasy Action,flying alcohol love of one's life forbidden love lovers,Hancock,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,I Am Legend,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,Charlie and the Chocolate Factory,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,Ratatouille,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,Batman Begins,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
Family Animation,africa jealousy dance hunger lion,Madagascar: Escape 2 Africa,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,Night at the Museum: Battle of the Smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,X-Men Origins: Wolverine,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,The Matrix Revolutions,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
Animation Adventure Family,queen musical princess betrayal snowman,Frozen,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,The Matrix Reloaded,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,Thor: The Dark World,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,Mad Max: Fury Road,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
Thriller Mystery,rome vatican based on novel symbolism christian,Angels & Demons,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard
Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,Thor,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,Bolt,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,G-Force,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
Adventure,underworld hades mythology greek mythology zeus,Wrath of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
Comedy Fantasy,witch imprisonment vampire curse fish out of water,Dark Shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
Action Adventure Thriller,london england spy austria villain sequel,Mission: Impossible - Rogue Nation,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,The Wolfman,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,Bee Movie,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
Animation Family,martial arts hope fleet panda mission,Kung Fu Panda 2,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
Action Adventure Family Fantasy,fire ice war ship prince kingdom,The Last Airbender,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
Adventure Action Thriller,berlin cia vatican white house secret identity,Mission: Impossible III,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
Action Drama Thriller,usa president conspiracy secret service the white house,White House Down,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich
Adventure Animation Family,boy alien rescue martian alien abduction,Mars Needs Moms,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
Adventure Animation Comedy Family,london england underworld return ship frog,Flushed Away,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers
Adventure Family Fantasy,flying magic fairy tale peter pan mermaid,Pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
Animation Adventure Family,father son relationship egypt intelligence adoption time travel,Mr. Peabody & Sherman,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff
Adventure Drama War,brother brother relationship adultery mythology beauty trojan war,Troy,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen
Animation Family,madagascar 3d,Madagascar 3: Europe's Most Wanted,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
Adventure Action Thriller,laser british secret service secret service agent space based weapon,Die Another Day,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
Action Fantasy Comedy,female friendship ghost hunting reboot ghost,Ghostbusters,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
Action Thriller Science Fiction Adventure,saving the world paris moon cataclysm asteroid,Armageddon,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay
Action Adventure Comedy Science Fiction,saving the world secret identity sun glasses undercover space marine,Men in Black II,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
Adventure Action Animation,denmark nordic mythology lie pride and vanity folk hero,Beowulf,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis
Action Adventure Animation Comedy Family,china martial arts kung fu village panda,Kung Fu Panda 3,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
Action Thriller Adventure,fight sequel mission explosion broken arm,Mission: Impossible - Ghost Protocol,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird
Fantasy Animation Family,dream santa claus nightmare easter bunny tooth fairy,Rise of the Guardians,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey
Comedy,based on novel desperation robber hold-up robbery remake,Fun with Dick and Jane,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot
Drama Action War History,japan war crimes sense of guilt swordplay general,The Last Samurai,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick
