genres,keywords,title,cast,director,popularity
Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,Superman Returns,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer,57.925623
Adventure Action Thriller Crime,killing undercover secret agent british secret service,Quantum of Solace,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster,107.92881100000001
Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,145.84737900000005
Action Adventure Western,texas horse survivor texas ranger partner,The Lone Ranger,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski,49.046956
Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,Man of Steel,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder,99.398009
Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,The Chronicles of Narnia: Prince Caspian,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson,53.978602
Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,The Avengers,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,144.448633
Adventure Action Fantasy,sea captain mutiny sword prime minister,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,135.413856
Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,Men in Black 3,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld,52.035179
Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),The Hobbit: The Battle of the Five Armies,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,120.96574299999999
Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,The Amazing Spider-Man,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb,89.866276
Action Adventure,robin hood archer knight sherwood forest bow and arrow,Robin Hood,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott,37.668301
Adventure Fantasy,elves dwarves orcs hobbit dragon,The Hobbit: The Desolation of Smaug,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,94.370564
Adventure Fantasy,england compass experiment lordship uncle,The Golden Compass,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz,42.990906
Adventure Drama Action,film business screenplay show business film making film producer,King Kong,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson,61.226009999999995
Drama Romance Thriller,shipwreck iceberg ship panic titanic,Titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,100.025899
Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Captain America: Civil War,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,198.37239499999998
Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,Battleship,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg,64.928382
Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,Jurassic World,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow,418.708552
Action Adventure Thriller,spy secret agent sociopath killer art gallery,Skyfall,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes,93.004993
Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,Spider-Man 2,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi,35.149586
Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Iron Man 3,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black,77.68208
Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,Alice in Wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton,78.530105
Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,X-Men: The Last Stand,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner,3.857526
Animation Family,monster dormitory games animation best friend,Monsters University,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon,89.186492
Science Fiction Action Adventure,egypt sun chaos symbol artifact,Transformers: Revenge of the Fallen,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay,21.939663
Science Fiction Action Adventure,sequel alien transformers giant robot robot,Transformers: Age of Extinction,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,116.840296
Fantasy Adventure Family,circus witch magic hope illusion,Oz: The Great and Powerful,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,46.985445
Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,The Amazing Spider-Man 2,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb,89.270217
Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,TRON: Legacy,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski,73.79505
Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Cars 2,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter,49.98659
Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,Green Lantern,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,51.872839
Animation Family Comedy,hostage college toy barbie animation,Toy Story 3,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich,59.99541800000001
Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,Terminator Salvation,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG,71.862892
Action,car race speed revenge suspense car,Furious 7,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan,102.32221700000001
Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,World War Z,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster,81.834855
Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,X-Men: Days of Future Past,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,118.07869099999999
Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Star Trek Into Darkness,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams,78.29101800000002
Action Family Fantasy,based on fairy tale giant,Jack the Giant Slayer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer,43.349855
Drama Romance,based on novel infidelity obsession hope 3d,The Great Gatsby,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann,61.196070999999996
Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Prince of Persia: The Sands of Time,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell,62.169881000000004
Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,Pacific Rim,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,56.523205000000004
Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,Transformers: Dark of the Moon,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay,28.529607000000002
Adventure Action,saving the world riddle whip treasure mexico city,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg,75.674458
Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,The Good Dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,51.692953
Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Brave,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,125.114374
Action Adventure Science Fiction,sequel stranded hatred space opera,Star Trek Beyond,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin,65.352913
Animation Family,romantic comedy,WALL·E,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton,66.390712
Action Comedy Crime Thriller,ambassador,Rush Hour 3,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner,22.57178
Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,2012,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,45.274225
Animation Drama,holiday based on novel victorian england money christmas eve,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis,39.744242
Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski,85.36908000000003
Action Adventure,africa feral child tarzan jungle animal attack,The Legend of Tarzan,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates,42.741719
Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson,67.391328
Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,139.272042
Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,187.322927
Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,Up,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,92.201962
Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon,36.167578000000006
Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,120.725053
Adventure Drama Family,library clock film director key toy,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese,32.319043
Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld,40.748915000000004
Adventure Action Fantasy,,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen,60.034162
Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer,90.23791999999999
Fantasy Comedy Family,father son relationship daily life married couple support father,Evan Almighty,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac,27.082182
Action Science Fiction,deja vu time warp restart dystopia war,Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman,79.456485
Adventure Action,ocean tattoo mutant water dystopia,Waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds,44.640291999999995
Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,32.852443
Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Inside Out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,128.65596399999998
Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,The Jungle Book,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau,94.19931600000001
Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,Iron Man 2,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau,77.30019399999998
Adventure Fantasy Drama,queen magic fairy tale immortality forest,Snow White and the Huntsman,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders,77.178973
Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Maleficent,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg,110.62064699999999
Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,Dawn of the Planet of the Apes,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves,243.79174300000003
Action Adventure Science Fiction Romance,,The Lovers,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9,2.418535
Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,47 Ronin,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch,41.796339
Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,Captain America: The Winter Soldier,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo,72.22526500000002
Comedy Adventure Fantasy Animation Family,ogre 3d,Shrek Forever After,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell,44.041185999999996
Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird,130.311355
Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,Big Hero 6,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams,203.73459
Family Animation Comedy Adventure,support group product placement bullying racing arcade,Wreck-It Ralph,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore,62.341073
Adventure Animation Family Fantasy,santa claus nerd faith gift bell,The Polar Express,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis,47.323228
Action Adventure Science Fiction,alternate history alien invasion,Independence Day: Resurgence,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich,48.775723
Fantasy Adventure Animation Family,flying blacksmith arena island night,How to Train Your Dragon,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders,67.263269
Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,Terminator 3: Rise of the Machines,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow,69.405188
Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,Guardians of the Galaxy,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn,481.09862400000003
Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Interstellar,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan,724.247784
Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan,167.58371
Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,Shin Godzilla,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno,9.476999000000001
Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),The Hobbit: An Unexpected Journey,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson,108.849621
Action Crime Thriller,street gang car race undercover auto-tuning los angeles,The Fast and the Furious,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen,6.909942
Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,The Curious Case of Benjamin Button,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher,60.269279000000004
Action Science Fiction Adventure,cia mutant mine marvel comic superhero,X-Men: First Class,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn,3.195174
Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,127.28442700000001
Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,The Sorcerer's Apprentice,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub,35.580815
Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Poseidon,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen,21.133748
Fantasy,based on novel clock queen sequel alice in wonderland,Alice Through the Looking Glass,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin,56.268916000000004
Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Shrek the Third,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller,42.986467
Action Adventure Fantasy,video game elves orcs magic chase,Warcraft,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones,63.148529
Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Terminator Genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor,202.04263500000002
Adventure Family Fantasy,based on novel magic good vs evil king narnia,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted,49.661984000000004
History Romance War,nurse patriotism hawaii world war ii pilot,Pearl Harbor,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay,34.20669
Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay,25.468493
War History Action Adventure Drama,aristotle egypt greece persia elephant,Alexander,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone,39.019228999999996
Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Harry Potter and the Order of the Phoenix,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates,78.14439499999997
Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,Harry Potter and the Goblet of Fire,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell,101.250416
Fantasy Action,flying alcohol love of one's life forbidden love lovers,Hancock,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg,56.758410999999995
Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,I Am Legend,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence,70.867401
Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,Charlie and the Chocolate Factory,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton,53.90559200000001
Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,Ratatouille,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava,65.677399
Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,Batman Begins,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan,115.040024
Family Animation,africa jealousy dance hunger lion,Madagascar: Escape 2 Africa,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell,44.141021
Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,Night at the Museum: Battle of the Smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy,81.781591
Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,X-Men Origins: Wolverine,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood,5.954333999999999
Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,The Matrix Revolutions,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski,73.313918
Animation Adventure Family,queen musical princess betrayal snowman,Frozen,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck,165.12536599999999
Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,The Matrix Reloaded,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski,70.78591
Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,Thor: The Dark World,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor,99.499595
Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,Mad Max: Fury Road,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller,434.27856399999996
Thriller Mystery,rome vatican based on novel symbolism christian,Angels & Demons,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard,67.447636
Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,Thor,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh,86.493424
Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,Bolt,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams,41.845878000000006
Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,G-Force,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman,26.710397999999998
Adventure,underworld hades mythology greek mythology zeus,Wrath of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman,44.927634999999995
Comedy Fantasy,witch imprisonment vampire curse fish out of water,Dark Shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton,50.306728
Action Adventure Thriller,london england spy austria villain sequel,Mission: Impossible - Rogue Nation,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie,114.52223700000002
Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,The Wolfman,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston,21.214571
Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,Bee Movie,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner,29.332905
Animation Family,martial arts hope fleet panda mission,Kung Fu Panda 2,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson,51.247321
Action Adventure Family Fantasy,fire ice war ship prince kingdom,The Last Airbender,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan,33.769335999999996
Adventure Action Thriller,berlin cia vatican white house secret identity,Mission: Impossible III,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams,63.079003
Action Drama Thriller,usa president conspiracy secret service the white house,White House Down,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich,39.004588
Adventure Animation Family,boy alien rescue martian alien abduction,Mars Needs Moms,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells,12.362599000000001
Adventure Animation Comedy Family,london england underworld return ship frog,Flushed Away,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers,22.550135
Adventure Family Fantasy,flying magic fairy tale peter pan mermaid,Pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright,48.03528
Animation Adventure Family,father son relationship egypt intelligence adoption time travel,Mr. Peabody & Sherman,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff,38.73494
Adventure Drama War,brother brother relationship adultery mythology beauty trojan war,Troy,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen,66.803149
Animation Family,madagascar 3d,Madagascar 3: Europe's Most Wanted,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon,44.989191999999996
